Age,TTh,ATh,TAP,MAAT,FI,MIRI,PI,AADTT, pass Sieve 200 subgrade, pass Sieve 200 base_subbase,PCI
6.92,160,76.2,1156.699951,4.400000095,616,0.8,,,,,90.37
8.15,160,76.2,1186.199951,2.799999952,775,1.1,,,,,87.42
10.16,160,76.2,1322,2.900000095,820,1.16,,,,,70.87
11.96,160,76.2,1501,3.5,1012,1.55,,,,,66.27
13,304.8,78.7,248.5,1.6,2132,0.833999991,,,,,77.49
15.01,304.8,78.7,271.2999878,0.100000001,2487,0.93,,,,,73.46
16.77,304.8,78.7,307.1000061,1.4,2615,1.2,,,,,68.22
19,304.8,78.7,337.1000061,1.6,2658,1.72,,,,,43.83
20.8,304.8,78.7,342.7000122,4.1,2751,1.98,,,,,38.69
26.71,304.8,78.7,344.6000061,1.1,3369,2.12,,,,,18.42
5.66,342.9,86.4,1597.099976,2.099999905,520,1.3,,,,,69.46
6.89,342.9,86.4,1869.5,3,537,1.557000041,,,,,64.81
8.9,342.9,86.4,2222.600098,4.5,578,1.6,,,,,66.47
10.71,342.9,86.4,2426,3.5,734,1.7,,,,,50.83
12.9,342.9,86.4,2792.100098,4.699999809,857,1.71,,,,,50.36
13.62,342.9,86.4,2997,3.799999952,1208,1.75,,,,,43.29
20.67,304.8,96.5,361.1000061,1.299999952,922,0.89,6,274,6.3,6.4,81.15
21.92,304.8,96.5,434.6000061,2.200000048,1127,1.53,6,233,6.3,6.4,64.38
23.91,304.8,96.5,509.5,3.5,1673,1.71,6,184,6.3,6.4,54.48
25.08,307.4,210.8,381,6.900000095,165,0.83,,,,,90.68
28.07,307.4,210.8,394,7.599999905,195,1.35,,,,,57.2
25.08,287.1,208.3,381,6.900000095,165,0.83,,,,,90.68
28.07,287.1,208.3,394,7.599999905,195,1.35,,,,,57.2
31.18,287.1,208.3,394,7.099999905,247,1.78,,,,,31.34
33.28,287.1,208.3,440,7.300000191,248,1.98,,,,,25.29
34,287.1,208.3,481,8,297,2.81,,,,,8.85
25.08,452.1,215.9,380.7000122,6.900000095,165,0.827000022,,,,,89.37
28.07,452.1,215.9,394.3999939,7.599999905,195,1.35,,,,,55.13
31.18,452.1,215.9,394,7.099999905,247,1.78,,,,,31.34
33.27,452.1,215.9,440,7.300000191,248,1.98,,,,,25.9
34,452.1,215.9,481,8,297,2.89,,,,,9.19
35.13,452.1,215.9,517,7.699999809,297,3.01,,,,,9.02
25.08,363.2,213.4,381,6.900000095,165,0.81,,,,,93.91
28.07,363.2,213.4,394,7.599999905,195,1.21,,,,,65.65
31.16,363.2,213.4,394.3999939,7.099999905,247,1.77,,,,,30.34
33.27,363.2,213.4,440.4,7.300000191,248,1.97,,,,,26.9
34,363.2,213.4,480.7999878,8,262,3.09,,,,,8.87
35.13,363.2,213.4,516.7999878,7.699999809,297,3.08,,,,,7.9
36.16,363.2,213.4,537.5,7.900000095,351,3.09,,,,,6.1
25.08,282,101.6,381,6.900000095,165,0.91,,,,,88.5
28.07,282,101.6,394,7.599999905,195,1.21,,,,,53.98
31.18,282,101.6,394.3999939,7.099999905,247,1.76,,,,,32.3
33.28,282,101.6,440.3999939,7.300000191,248,1.96,,,,,27.9
34,282,101.6,480.7999878,8,262,3.09,,,,,8.13
35.13,282,101.6,516.7999878,7.699999809,297,3.2,,,,,7.98
36.16,282,101.6,537.5,7.900000095,351,3.8,,,,,6.4
25.08,284.5,101.6,381,6.900000095,165,0.88,,,,,94.07
28.07,284.5,101.6,394,7.599999905,195,1.21,,,,,51.62
31.16,284.5,101.6,394.3999939,7.099999905,247,1.77,,,,,30.55
33.27,284.5,101.6,440.3999939,7.300000191,248,1.98,,,,,25.9
34,284.5,101.6,480.7999878,8,262,2.99,,,,,8.3
35.13,284.5,101.6,516.7999878,7.699999809,297,3.09,,,,,7.77
36.16,284.5,101.6,537.5,7.900000095,351,3.1,,,,,6.3
25.08,279.4,213.4,381,6.900000095,165,0.81,,,,,96.34
28.07,279.4,213.4,394,7.599999905,195,1.18,,,,,63.28
25.08,162.56,205.7,381,6.900000095,165,0.83,,,,,89.37
28.07,162.56,205.7,394,7.599999905,195,1.35,,,,,57.2
31.18,162.56,205.7,394.3999939,7.099999905,247,1.78,,,,,32.55
33.27,162.56,205.7,440.3999939,7.300000191,248,1.98,,,,,25.9
34.13,162.56,205.7,480.7999878,8,262,2.89,,,,,8.73
35.13,162.56,205.7,516.7999878,7.699999809,297,3.1,,,,,7.46
36.17,162.56,205.7,537.5,7.900000095,351,3.21,,,,,6.09
25.08,162.56,200.7,381,6.900000095,165,0.77,,,,,100
28.07,162.56,200.7,394,7.599999905,195,1.22,,,,,65.65
31.18,162.56,200.7,394.3999939,7.099999905,247,1.79,,,,,35.66
